,,,SUMMARY,,,,,
,,,,,,,,
,Total Books,,Total Revenue,,Average Rating,,,
,72818,," 4,56,63,945.90 ",,4.46,,,
,,,,,,,,
,,,,,,,,
Name,Author,Narrator,Time_in_min,ReleaseDate,Language,Stars,Ratings_Count,Price
Tiger Honor,YoonHaLee,ElissaPark,456,04-01-2022,English,5,,586
The Amulet of Samarkand,JonathanStroud,StevenPacey,570,01-02-2007,English,5,,683
Rowley Jefferson's Awesome Friendly Spooky Stories,JeffKinney,ChristopherGebauer,89,16-03-2021,English,3.5,,410
Lost in the End,WinterMorgan,SummerMcCusker,103,06-04-2016,English,5,,233
Trouble Island,FranklinW.Dixon,TimGregory,264,01-06-2021,English,5,,305
Terrors of the Forest,MarkCheverton,NickWalther,492,25-01-2022,English,No Rating,,703
Riverboat Roulette,CarolynKeene,JorjeanaMarie,166,20-03-2017,English,5,17,305
The Book of Chaos,JessicaRenwick,RebaBuhr,330,15-03-2022,English,No Rating,7,"1,172.00"
Discoveries in the Overworld,WinterMorgan,SummerMcCusker,109,06-04-2016,English,5,5,233
The Last Human,LeeBacon,PaulPanting,402,03-10-2019,English,5,2,949
Welcome to Smellville,R.L.Stine,"JordanFisher,DaschaPolanco,JonieceAbbott-Pratt,",198,29-09-2020,English,No Rating,,585
An Explorer's Guide to the Nether,WinterMorgan,SummerMcCusker,110,30-03-2016,English,5,4,233
The Midnight Gang,DavidWalliams,"DavidWalliams,PeterSerafinowicz,MorwennaBanks,",369,15-11-2016,English,4.5,,322
As the Falcon Flies,FranklinW.Dixon,AdamVerner,188,04-01-2022,English,No Rating,,305
The Squad of Lucky Landing: An Unofficial Fortnite Adventure Novel,DevinHunter,RamonDeOcampo,131,30-10-2018,English,5,4,585
Pahua and the Soul Stealer,LoriM.Lee,SamanthaTan,672,07-09-2021,English,No Rating,7,702
Sabotage on the Solar Express,"M.G.Leonard,SamSedgman","ElisaPaganelli,JotDavies",335,17-02-2022,English,No Rating,,323
A Boy Called Christmas,MattHaig,StephenFry,272,03-11-2016,English,4.5,4,569
"The 39 Clues, Book 4",JudeWatson,DavidPittu,277,23-06-2009,English,5,3,468
"The 39 Clues, Book 3",PeterLerangis,DavidPittu,231,03-03-2009,English,5,,468
The Disappearance,FranklinW.Dixon,TimGregory,230,14-05-2019,English,4,2,305
Once Upon a Crime,RobinStevens,"KatieLeung,RebeccaLee,AlexanderCapon,",410,05-08-2021,English,No Rating,,615
Billionaire Boy,DavidWalliams,"DavidWalliams,NitinGanatra",188,09-06-2011,English,5,,266
The Blue Lady of Coffin Hall,CarolynKeene,JorjeanaMarie,232,04-01-2022,English,5,,305
Danger at Dead Man's Pass,"M.G.Leonard,SamSedgman,ElisaPaganelli-illustrator",JotDavies,408,16-09-2021,English,No Rating,21,323
Unlocked,ShannonMessenger,CaitlinKelly,962,04-06-2021,English,3,6,836
The Danger Gang,TomFletcher,"TomFelton,TomFletcher",252,01-10-2020,English,No Rating,9,615
Mountain Mare,TerriFarley,NatalieBudig,235,25-01-2022,English,No Rating,,398
The Vanishing Statue,CarolynKeene,JorjeanaMarie,245,16-06-2020,English,5,,305
Peril at Granite Peak,FranklinW.Dixon,TimGregory,210,21-01-2016,English,5,,305
The Disappearance of Emily Downs,C.J.Redwine,MiaSinclairJenness,296,30-09-2021,English,5,2,"1,003.00"
The Solution,KatherineApplegate,EmilyEllet,174,02-11-2021,English,No Rating,,656
The Great Greenfield Bake-Off,GertrudeChandlerWarner,AimeeLilly,101,01-09-2021,English,No Rating,5,234
Into Thin Air,FranklinW.Dixon,TimGregory,159,21-01-2016,English,5,,305
